Pick,Round,Player,School,Position,Team,ReachValue,Points,State,PickTraded
1,1,Joe Burrow,LSU,QB,Cincinnati,-1,40,Louisiana,False
2,1,Chase Young,Ohio State,EDGE,Washington,+1,35,Ohio,False
3,1,Jeffrey Okudah,Ohio State,CB,Detroit,-3,35,Ohio,False
4,1,Andrew Thomas,Georgia,OT,NY Giants,-9,35,Georgia,False
5,1,Tua Tagovailoa,Alabama,QB,Miami,+1,35,Alabama,False
6,1,Justin Herbert,Oregon,QB,LA Chargers,-6,35,Oregon,False
7,1,Derrick Brown,Auburn,DL3T,Carolina,+2,35,Alabama,False
8,1,Isaiah Simmons,Clemson,S,Arizona,+5,35,South Carolina,False
9,1,C.J. Henderson,Florida,CB,Jacksonville,-9,35,Florida,False
10,1,Jedrick Wills,Alabama,OT,Cleveland,-6,35,Alabama,False
11,1,Mekhi Becton,Louisville,OT,NY Jets,+0,30,Kentucky,False
12,1,Henry Ruggs III,Alabama,WR,Las Vegas,-2,30,Alabama,False
13,1,Tristan Wirfs,Iowa,OT,Tampa Bay (Trade),+6,40,Iowa,True
14,1,Javon Kinlaw,South Carolina,DL3T,San Francisco (Trade),+6,40,South Carolina,True
15,1,Jerry Jeudy,Alabama,WR,Denver,+5,30,Alabama,False
16,1,A.J. Terrell,Clemson,CB,Atlanta,-22,30,South Carolina,False
17,1,CeeDee Lamb,Oklahoma,WR,Dallas,+8,30,Oklahoma,False
18,1,Austin Jackson,USC,OT,Miami (Trade),-19,40,California,True
19,1,Damon Arnette,Ohio State,CB,Las Vegas,-56,30,Ohio,False
20,1,K'Lavon Chaisson,LSU,EDGE,Jacksonville (Trade),+5,40,Louisiana,True
21,1,Jalen Reagor,TCU,WRS,Philadelphia,-21,25,Texas,False
22,1,Justin Jefferson,LSU,WR,Minnesota (Trade),-2,35,Louisiana,True
23,1,Kenneth Murray,Oklahoma,ILB,LA Chargers (Trade),-3,35,Oklahoma,True
24,1,Cesar Ruiz,Michigan,OC,New Orleans,-11,25,Michigan,False
25,1,Brandon Aiyuk,Arizona State,WR,San Francisco (Trade),-26,35,Arizona,True
26,1,Jordan Love,Utah State,QB,Green Bay (Trade),+9,35,Utah,True
